YEAR,ETARIO,SEXO,CASOS
2019,0-9,masculino,6
2019,10-19,masculino,12
2019,20-29,masculino,18
2019,30-39,masculino,30
2019,40-49,masculino,63
2019,50-59,masculino,117
2019,60-69,masculino,169
2019,70-79,masculino,138
2019,80 <,masculino,64
2019,0-9,femenino,2
2019,10-19,femenino,13
2019,20-29,femenino,31
2019,30-39,femenino,96
2019,40-49,femenino,166
2019,50-59,femenino,186
2019,60-69,femenino,199
2019,70-79,femenino,125
2019,80 <,femenino,46
2020,0-9,masculino,6
2020,10-19,masculino,11
2020,20-29,masculino,10
2020,30-39,masculino,23
2020,40-49,masculino,41
2020,50-59,masculino,67
2020,60-69,masculino,105
2020,70-79,masculino,98
2020,80 <,masculino,29
2020,0-9,femenino,13
2020,10-19,femenino,8
2020,20-29,femenino,43
2020,30-39,femenino,68
2020,40-49,femenino,99
2020,50-59,femenino,114
2020,60-69,femenino,142
2020,70-79,femenino,99
2020,80 <,femenino,47
2021,0-9,masculino,3
2021,10-19,masculino,11
2021,20-29,masculino,18
2021,30-39,masculino,18
2021,40-49,masculino,25
2021,50-59,masculino,64
2021,60-69,masculino,101
2021,70-79,masculino,70
2021,80 <,masculino,30
2021,0-9,femenino,6
2021,10-19,femenino,9
2021,20-29,femenino,25
2021,30-39,femenino,52
2021,40-49,femenino,81
2021,50-59,femenino,110
2021,60-69,femenino,117
2021,70-79,femenino,75
2021,80 <,femenino,39
2018,0-9,masculino,3
2018,10-19,masculino,11
2018,20-29,masculino,18
2018,30-39,masculino,18
2018,40-49,masculino,25
2018,50-59,masculino,64
2018,60-69,masculino,101
2018,70-79,masculino,70
2018,80 <,masculino,30
2018,0-9,femenino,6
2018,10-19,femenino,9
2018,20-29,femenino,25
2018,30-39,femenino,52
2018,40-49,femenino,81
2018,50-59,femenino,110
2018,60-69,femenino,117
2018,70-79,femenino,75
2018,80 <,femenino,39
2017,0-9,masculino,7
2017,10-19,masculino,12
2017,20-29,masculino,7
2017,30-39,masculino,28
2017,40-49,masculino,37
2017,50-59,masculino,76
2017,60-69,masculino,139
2017,70-79,masculino,85
2017,80 <,masculino,34
2017,0-9,femenino,10
2017,10-19,femenino,9
2017,20-29,femenino,19
2017,30-39,femenino,65
2017,40-49,femenino,144
2017,50-59,femenino,160
2017,60-69,femenino,159
2017,70-79,femenino,93
2017,80 <,femenino,31
