YEAR,REGION,TOPONIMIA,SEXO,CASOS
2019,Región 0,Distrito Nacional,masculino,81
2019,Región 0,Monte Plata,masculino,21
2019,Región 0,Santo Domingo,masculino,103
2019,Región I,Peravia,masculino,20
2019,Región I,San Cristóbal,masculino,54
2019,Región I,San José de Ocoa,masculino,15
2019,Región II,Espaillat,masculino,14
2019,Región II,Puerto Plata,masculino,17
2019,Región II,Santiago,masculino,9
2019,Región III,Duarte,masculino,25
2019,Región III,Hermanas Mirabal,masculino,5
2019,Región III,María Trinidad Sánchez,masculino,12
2019,Región III,Samaná,masculino,11
2019,Región IV,Bahoruco,masculino,11
2019,Región IV,Barahona,masculino,26
2019,Región IV,Independencia,masculino,3
2019,Región IV,Pedernales,masculino,2
2019,Región V,El Seibo,masculino,11
2019,Región V,Hato Mayor,masculino,15
2019,Región V,La Altagracia,masculino,12
2019,Región V,La Romana,masculino,1
2019,Región V,San Pedro de Macorís,masculino,16
2019,Región VI,Azua,masculino,19
2019,Región VI,Elías Piña,masculino,8
2019,Región VI,San Juan,masculino,39
2019,Región VII,Dajabón,masculino,4
2019,Región VII,Monte Cristi,masculino,3
2019,Región VII,Santiago Rodríguez,masculino,6
2019,Región VII,Valverde,masculino,3
2019,Región VIII,La Vega,masculino,11
2019,Región VIII,Monseñor Nouel,masculino,8
2019,Región VIII,Sánchez Ramírez,masculino,10
2019,Región 0,Distrito Nacional,femenino,134
2019,Región 0,Monte Plata,femenino,20
2019,Región 0,Santo Domingo,femenino,146
2019,Región I,Peravia,femenino,14
2019,Región I,San Cristóbal,femenino,41
2019,Región I,San José de Ocoa,femenino,16
2019,Región II,Espaillat,femenino,15
2019,Región II,Puerto Plata,femenino,17
2019,Región II,Santiago,femenino,17
2019,Región III,Duarte,femenino,32
2019,Región III,Hermanas Mirabal,femenino,16
2019,Región III,María Trinidad Sánchez,femenino,22
2019,Región III,Samaná,femenino,11
2019,Región IV,Bahoruco,femenino,16
2019,Región IV,Barahona,femenino,22
2019,Región IV,Independencia,femenino,5
2019,Región IV,Pedernales,femenino,3
2019,Región V,El Seibo,femenino,11
2019,Región V,Hato Mayor,femenino,20
2019,Región V,La Altagracia,femenino,17
2019,Región V,La Romana,femenino,6
2019,Región V,San Pedro de Macorís,femenino,25
2019,Región VI,Azua,femenino,24
2019,Región VI,Elías Piña,femenino,11
2019,Región VI,San Juan,femenino,57
2019,Región VII,Dajabón,femenino,10
2019,Región VII,Monte Cristi,femenino,5
2019,Región VII,Santiago Rodríguez,femenino,8
2019,Región VII,Valverde,femenino,5
2019,Región VIII,La Vega,femenino,31
2019,Región VIII,Monseñor Nouel,femenino,16
2019,Región VIII,Sánchez Ramírez,femenino,22
2020,Región 0,Distrito Nacional,masculino,83
2020,Región 0,Monte Plata,masculino,9
2020,Región 0,Santo Domingo,masculino,73
2020,Región I,Peravia,masculino,9
2020,Región I,San Cristóbal,masculino,23
2020,Región I,San José de Ocoa,masculino,7
2020,Región II,Espaillat,masculino,6
2020,Región II,Puerto Plata,masculino,7
2020,Región II,Santiago,masculino,8
2020,Región III,Duarte,masculino,9
2020,Región III,Hermanas Mirabal,masculino,10
2020,Región III,María Trinidad Sánchez,masculino,3
2020,Región III,Samaná,masculino,2
2020,Región IV,Bahoruco,masculino,1
2020,Región IV,Barahona,masculino,9
2020,Región IV,Independencia,masculino,1
2020,Región IV,Pedernales,masculino,1
2020,Región V,El Seibo,masculino,4
2020,Región V,Hato Mayor,masculino,4
2020,Región V,La Altagracia,masculino,5
2020,Región V,La Romana,masculino,1
2020,Región V,San Pedro de Macorís,masculino,5
2020,Región VI,Azua,masculino,7
2020,Región VI,Elías Piña,masculino,4
2020,Región VI,San Juan,masculino,32
2020,Región VII,Dajabón,masculino,6
2020,Región VII,Monte Cristi,masculino,6
2020,Región VII,Santiago Rodríguez,masculino,3
2020,Región VII,Valverde,masculino,1
2020,Región VIII,La Vega,masculino,17
2020,Región VIII,Monseñor Nouel,masculino,3
2020,Región VIII,Sánchez Ramírez,masculino,12
2020,Región 0,Distrito Nacional,femenino,128
2020,Región 0,Monte Plata,femenino,22
2020,Región 0,Santo Domingo,femenino,141
2020,Región I,Peravia,femenino,14
2020,Región I,San Cristóbal,femenino,37
2020,Región I,San José de Ocoa,femenino,6
2020,Región II,Espaillat,femenino,7
2020,Región II,Puerto Plata,femenino,13
2020,Región II,Santiago,femenino,5
2020,Región III,Duarte,femenino,17
2020,Región III,Hermanas Mirabal,femenino,9
2020,Región III,María Trinidad Sánchez,femenino,12
2020,Región III,Samaná,femenino,4
2020,Región IV,Bahoruco,femenino,5
2020,Región IV,Barahona,femenino,18
2020,Región IV,Independencia,femenino,1
2020,Región IV,Pedernales,femenino,1
2020,Región V,El Seibo,femenino,12
2020,Región V,Hato Mayor,femenino,9
2020,Región V,La Altagracia,femenino,12
2020,Región V,La Romana,femenino,6
2020,Región V,San Pedro de Macorís,femenino,13
2020,Región VI,Azua,femenino,18
2020,Región VI,Elías Piña,femenino,11
2020,Región VI,San Juan,femenino,36
2020,Región VII,Dajabón,femenino,1
2020,Región VII,Monte Cristi,femenino,1
2020,Región VII,Santiago Rodríguez,femenino,0
2020,Región VII,Valverde,femenino,1
2020,Región VIII,La Vega,femenino,12
2020,Región VIII,Monseñor Nouel,femenino,9
2020,Región VIII,Sánchez Ramírez,femenino,14
2021,Región 0,Distrito Nacional,masculino,128
2021,Región 0,Monte Plata,masculino,7
2021,Región 0,Santo Domingo,masculino,53
2021,Región I,Peravia,masculino,4
2021,Región I,San Cristóbal,masculino,20
2021,Región I,San José de Ocoa,masculino,2
2021,Región II,Espaillat,masculino,2
2021,Región II,Puerto Plata,masculino,3
2021,Región II,Santiago,masculino,7
2021,Región III,Duarte,masculino,10
2021,Región III,Hermanas Mirabal,masculino,2
2021,Región III,María Trinidad Sánchez,masculino,3
2021,Región III,Samaná,masculino,3
2021,Región IV,Bahoruco,masculino,2
2021,Región IV,Barahona,masculino,12
2021,Región IV,Independencia,masculino,3
2021,Región IV,Pedernales,masculino,0
2021,Región V,El Seibo,masculino,4
